Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30780006,The Things You Can See Only When You Slow Down: How to Be Calm in a Busy World,Haemin Sunim,"Sunim, Haemin","Chi-Young Kim, Youngcheol Lee","=""0143130773""","=""9780143130772""",0,4.02,Penguin Life,Hardcover,288,2017,2012,,2021/08/08,to-read,to-read (#319),to-read,,,,0,0
22526709,Round Up The Usual Subjects: Thoughts On Just About Everything,Robert Brault,"Brault, Robert",Joan Brault,"=""1499593783""","=""9781499593785""",0,4.25,CreateSpace Independent Publishing Platform,Paperback,202,2014,2014,,2021/08/02,to-read,to-read (#318),to-read,,,,0,0
31945227,A Velocity of Being: Letters to a Young Reader,Maria Popova,"Popova, Maria","Claudia Zoe Bedrick, David Remnick, Rebecca Solnit, Regina Spektor","=""1592702287""","=""9781592702282""",0,4.52,Enchanted Lion,Board Book,272,2018,2018,,2021/08/01,to-read,to-read (#317),to-read,,,,0,0
71730,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"Rosenberg, Marshall B.",Arun Gandhi,"=""1892005034""","=""9781892005038""",0,4.33,Puddledancer Press,Paperback,220,2003,1999,,2021/07/24,to-read,to-read (#316),to-read,,,,0,0
15014,Crucial Conversations: Tools for Talking When Stakes are High,Kerry Patterson,"Patterson, Kerry","Stephen R. Covey, Joseph Grenny, Ron McMillan, Al Switzler","=""0071401946""","=""9780071401944""",0,4.07,McGraw-Hill,Paperback,240,2002,2002,,2021/07/24,to-read,to-read (#315),to-read,,,,0,0
39380381,Say What You Mean: A Mindful Approach to Nonviolent Communication,Oren Jay Sofer,"Sofer, Oren Jay",,"=""161180583X""","=""9781611805833""",0,4.14,Shambhala,Paperback,304,2018,2018,,2021/07/24,to-read,to-read (#314),to-read,,,,0,0
91017,Rubicon: The Last Years of the Roman Republic,Tom Holland,"Holland, Tom",,"=""1400078970""","=""9781400078974""",0,4.23,Anchor Books,Paperback,408,2005,2003,,2021/07/23,to-read,to-read (#313),to-read,,,,0,0
53438824,Whereabouts,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0593318315""","=""9780593318317""",0,3.76,Alfred A. Knopf,Hardcover,157,2021,2018,,2021/07/11,to-read,to-read (#312),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",3,3.81,Crown,Hardcover,273,2019,2018,2021/07/02,2020/08/26,,,read,"Do I hate this book? <br/>Yes.<br/><br/>Why do I hate this book? <br/>Like the confused protagonists, I don't have a clear answer for that. <br/><br/>Let me get the good part out of the way, so that I can thoroughly whine about just how much this book irritated me. <br/><br/>I'm a sucker for books that focus on and obsess over the inner workings of the protagonists. There is no grand adventure or suspense here. It is the inner monologue and emotional turmoil of two characters that drive the plot, which I absolutely love. There is a certain degree of introspection that took place whenever I saw a part of myself streaked across early Connell's mannerisms or in how he viewed the motivations or repercussions of his actions. <br/><br/>Besides identifying a little too much with one of the main characters, I absolutely loved how the story progressed in the beginning. Sally Rooney has masterfully described the mixed feelings associated with nascent high school love in a way I’ve never read before. Her maniacal focus on the little things, the tiny details, is what makes it so compelling for me. <br/><br/><blockquote><br/>If he silently decides not to say something when they’re talking, Marianne will ask ‘what?’ within one or two seconds. This ‘what?’ question seems to him to contain so much: not just the forensic attentiveness to his silences that allows her to ask in the first place, but a desire for total communication, a sense that anything unsaid is an unwelcome interruption between them.<br/></blockquote><br/><br/>How could I NOT expect great things from this book? <br/><br/>But alas, things quickly went downhill from there. I understand that humans are flawed and that our medium of communication is abysmally under-equipped when we start talking about emotions and feelings. If we could all communicate using telepathy to convey how we’re actually feeling, the world would be a much easier, less misunderstood place to live in. Alas, until Elon Musk unveils telepathic communication chips, we’ll be stuck depending on our sub-par mode of communication. <br/><br/>But, that isn't an excuse for the characters to NOT talk about stuff. There were more than a few instances where I felt the whole situation could’ve been diffused had they just talked about it. I must sound like a hypocrite to some of you, who know me better than most. But alas, I hold fiction to a higher standard. The whole business of creating artificial conflicts just to get a juicer resolution feels like an insult to the reader. <br/><br/>We are all communicative in different ways when it comes to our emotions. As much as I hated the latter part, I’d still recommend this to everyone, given how well the story unfolded in the beginning. ",,,1,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,"=""0465081452""","=""9780465081455""",0,4.37,Basic Books,Hardcover,448,2003,2000,,2016/06/23,,,read,,,,0,0
54968807,Masala Lab : The Science of Indian Cooking,Krish Ashok,"Ashok, Krish",,"=""0143451375""","=""9780143451372""",0,3.81,Penguin India,Paperback,280,2020,2020,,2021/06/03,to-read,to-read (#311),to-read,,,,0,0
89724,We Have Always Lived in the Castle,Shirley Jackson,"Jackson, Shirley",Jonathan Lethem,"=""0143039970""","=""9780143039976""",1,3.91,Penguin Books,Paperback,152,2006,1962,,2021/05/17,,,read,,,,2,0
591052,A Primer in Positive Psychology (Oxford Positive Psychology Series),Christopher Peterson,"Peterson, Christopher",,"=""0195188330""","=""9780195188332""",0,4.13,Oxford University Press,Paperback,386,2006,2006,,2021/05/16,to-read,to-read (#310),to-read,,,,0,0
24838407,A Book of Simple Living,Ruskin Bond,"Bond, Ruskin",,"=""""","=""""",0,4.52,Speaking Tiger,Hardcover,160,2015,2015,,2021/05/11,to-read,to-read (#309),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",2,4.16,Tor Books,Hardcover,448,2020,2020,2021/05/05,2021/05/05,,,read,"I recently came across an article which talked about how brain researchers made strides in understanding the function of specific regions by studying brains with damages or wounds. The whole idea of understanding something by comparing it with a reduced form of itself was fascinating for me. With a protagonist who is cursed with being forgotten, this book presents a similar opportunity for understanding our subjective reality by comparing it with a reduced form of itself, one where all relations are ephemeral.<br/><br/>With an interesting blurb and a fancy cover art, this book lures you in with a whiff of an uncommon curse that has the potential for an interesting storyline. Alas, like the protagonist, this book is bound to be forgotten the moment you put it down. Even with a story spanning 300 years and 400 pages, there isn't a single scene that stands out. Personally, I blame it on the ""show-and-tell"" nature of the narration where every single action is not just expressed, but explicitly spelled out and explained for the reader. <br/><br/>There are patches of excitement and moments of silent thought, where the author uses the bizarre nature of the curse to touch upon human experiences and feelings that we would otherwise take for granted. Coupled with some beautiful descriptions of what it feels to be young and in love in NY, the second half of the book flies by far faster than the first.<br/><br/>But there aren't nearly enough beautiful lines in here for me to recommend this book to anyone. ",,,1,0
12117,"One, No One, and One Hundred Thousand",Luigi Pirandello,"Pirandello, Luigi",William Weaver,"=""0941419746""","=""9780941419741""",0,4.03,Marsilio Publishers,Paperback,174,1992,1925,,2021/04/24,to-read,to-read (#308),to-read,,,,0,0
3181564,The Housekeeper and the Professor,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""0312427808""","=""9780312427801""",3,4.05,Picador,Paperback,180,2009,2005,2021/04/03,2020/12/18,,,read,,,,1,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",2,3.98,Viking,Hardcover,288,2020,2020,2021/03/01,2020/12/22,,,read,,,,1,0
25488982,"Dictator (Cicero, #3)",Robert   Harris,"Harris, Robert",,"=""0307957942""","=""9780307957948""",3,4.42,Knopf,Hardcover,385,2016,2015,2021/01/20,2021/03/14,,,read,,,,1,0
3629971,"Conspirata (Cicero, #2)",Robert   Harris,"Harris, Robert",,"=""0743266102""","=""9780743266109""",2,4.26,Simon & Schuster,Hardcover,352,2010,2009,2021/01/02,2021/03/14,,,read,,,,1,0
42937515,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""""","=""""",0,4.13,Macmillan,ebook,353,2016,2016,,2021/01/14,to-read,to-read (#307),to-read,,,,0,0
5776788,"Sandman Slim (Sandman Slim, #1)",Richard Kadrey,"Kadrey, Richard",,"=""0061714305""","=""9780061714306""",0,3.95,Harper Voyager,Hardcover,388,2009,2009,,2020/12/27,to-read,to-read (#306),to-read,,,,0,0
243601,"Imperium (Cicero, #1)",Robert   Harris,"Harris, Robert",,"=""074326603X""","=""9780743266031""",5,4.14,Simon & Schuster,Hardcover,305,2006,2006,2020/12/26,2020/12/27,,,read,"<i>“The trouble with Lucious,"" he said, putting his feet up on the desk after this cousin has gone,"" is that he thinks politics is a fight for justice. Politics is a profession.”</i><br/><br/>Imperium presents the tale of Cicero's rise to power, narrated through the notes of his loyal slave and scribe, Tiro. Through his oratorical prowess and political theatrics, we see Cicero climb the shaky ladder of power. Each passing rung accompanies with it an erosion of the moral values that propelled him into this grand venture, until acquisition of power becomes an end in itself.<br/><br/><i>""The work gave Cicero his first real taste of what it is like to have power – which is usually, when it comes down to it, a matter of choosing between equally unpalatable options – and fairly bitter he found it.""</i><br/><br/>Robert Harris has exquisitely narrated this historical tale with a fast paced plot interspersed with pithy observation about power and those who wield it. There have been so few books which have kept me turning the pages like this one. My reluctance to start this book was soon replaced by an insatiable need to breathe in every word that Cicero had to say. Imperium provides readers with plenty of fodder to introspect deeply about the currents of power that are at play behind every political motion.",,,1,0
72148,Restless,William  Boyd,"Boyd, William",,"=""0747589372""","=""9780747589372""",0,3.95,Bloomsbury,Paperback,336,2007,2006,,2020/12/26,to-read,to-read (#305),to-read,,,,0,0
40604846,Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Demick, Barbara",,"=""""","=""""",0,4.46,Spiegel & Grau,Kindle Edition,338,2009,2009,,2020/12/22,to-read,to-read (#304),to-read,,,,0,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",4,4.32,Penguin Books,Paperback,495,2019,2016,,2020/12/21,,,read,"I've observed that misanthropic traits in protagonists manifest primarily in two ways - In those that are weak, in whom misanthropy arises as an effect of their inability to hold their own, and in those that are strong, in whom misanthropy arises because of their utter disregard for those who are weaker, poorer, or otherwise unfortunate than them. For me, a heart-warming story usually involves humanizing a strong misanthropic protagonist. A skilled author portrays this ""thawing of the frozen heart"" in an artful way, making the character more relatable and empathetic, with bits of humor thrown in along the way to tie the whole package together. In ""The Man Called Ove"", it's the stubborn widower who's set in his ways, and in ""A Gentleman in Moscow"", it's an estranged aristocrat who’s the subject of this artful dissection. Through whimsical adventures and happy little accidents, the author turns The Count into an endearing character whom we root for and relate to with the utmost passion. <br/><br/>The emotional aspect aside, we're offered an interesting glimpse of Russia through the eyes of a man who rolled around with the upper echelons of pre-revolution Russian aristocracy. A mix of Russian history and witty dialogues make the book truly unputdownable.<br/><br/>Through his enlightening observations and irreverent demeanor, The Count, along with his ensemble of quirky characters, will leave you ensconced in a feeling of warmth and happiness. A definite must read for those cold, cozy, Christmas nights.<br/><br/>",,,2,0
50362362,"The Inugami Curse (Detective Kosuke Kindaichi, #2)",Seishi Yokomizo,"Yokomizo, Seishi",Yumiko Yamakazi,"=""1782275029""","=""9781782275022""",0,3.89,Pushkin Vertigo,Kindle Edition,321,2020,1950,,2020/12/18,to-read,to-read (#303),to-read,,,,0,0
263466,"Dragon's Egg (Cheela, #1)",Robert L. Forward,"Forward, Robert L.",,"=""034543529X""","=""9780345435293""",0,4.12,Del Rey,Paperback,352,2000,1980,,2020/12/17,to-read,to-read (#302),to-read,,,,0,0
10054335,Rules of Civility,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.09,Viking Adult,Hardcover,335,2011,2011,,2020/12/16,to-read,to-read (#301),to-read,,,,0,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",0,3.93,New Directions,Hardcover,178,1969,1938,,2020/12/14,to-read,to-read (#300),to-read,,,,0,0
18460392,All the Bright Places,Jennifer Niven,"Niven, Jennifer",,"=""0385755880""","=""9780385755887""",0,4.11,Knopf,Hardcover,388,2015,2015,,2020/12/13,to-read,to-read (#299),to-read,,,,0,0
48829708,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,"Paolini, Christopher",,"=""1250762847""","=""9781250762849""",0,3.80,Tor Books,Hardcover,880,2020,2020,,2020/10/11,to-read,to-read (#298),to-read,,,,0,0
18949688,Wittgenstein: Philosophy in an Hour: An Expert Non-Fiction Account of 20th Century Thought,Paul Strathern,"Strathern, Paul",,"=""0007464975""","=""9780007464975""",0,3.38,HarperPress,Kindle Edition,57,2012,1996,,2020/07/30,to-read,to-read (#273),to-read,,,,0,0
49127718,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""198216963X""","=""9781982169633""",0,4.16,Atria Publishing,Hardcover,336,2019,2019,,2020/10/04,to-read,to-read (#297),to-read,,,,0,0
50365,"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,"Seth, Vikram",,"=""0060786523""","=""9780060786526""",0,4.11,Harper Perennial Modern Classics,Paperback,1474,2005,1993,,2020/10/03,to-read,to-read (#296),to-read,,,,0,0
52219273,"How Innovation Works: Serendipity, Energy and the Saving of Time",Matt Ridley,"Ridley, Matt",,"=""0062916599""","=""9780062916594""",3,4.11,Harper,Hardcover,416,2020,2020,2020/10/03,2020/10/03,,,read,"This book was my first foray into non-fiction this year.   I believe that human beings, with our incessant need for order and meaning, are obsessed with stories and the deeper meaning that lie behind them. This is exactly why I prefer learning about abstract concepts narrated through a well fleshed out story where the ensconced idea gets communicated in a much better manner as opposed to works of non-fictions where they’re presented, cooked and cleaned, with minimal seasoning to make it palatable for the masses.<br/><br/>Matt Ridley has used the narratorial approach to his advantage when grappling the seemingly open ended question of how innovation works. The book is neatly broken down into two logical sections - the stories and the lessons. In the story section, the author artfully chronicles a series of stories about innovations in the fields of energy creation, public health, transport, food and communication among many others. He has sequenced them in such a manner so as to highlight the impacts that earlier innovations had on later ones. In addition, he has beautifully sprinkled nuggets of analysis throughout these stories, with each story serving to highlight some crucial aspect of innovation. The second part is more academic where the ideas highlighted in the first part are taken and analysed in isolation, with small substantiating examples thrown in to strengthen their case.  <br/><br/>I’m a big fan of “meta-analysis”, whereby seemingly disconnected stories are analysed to assess and ascertain the pattern that pervades all of them. The author has done an excellent job of distilling innovation and the plethora of pervading factors, from what begets it, to what inhibits it, using a multitude of tales spread across multiple millennia.<br/><br/>Mainstream narratives have a tendency to paint innovations as breakthroughs brought about by cerebral beings performing extraordinary feats. The author makes a very strong case for why it is not the reality.  The cycle of innovation is portrayed  for what it is - a gradual process of incremental change where the accumulation of knowledge and experience lends itself to the production of better things. It's not a staccato of notes but a symphony.<br/><br/>The analysis of the influence of external entities (ex: governments), as well as the impact of regulations and patents also presents some interesting gems which seem to go against conventional beliefs.  The book does have its slow parts, with a few of the stories going into unnecessary side-tracks featuring a cast of characters who are nowhere to be found past their brief roles. Like most authors of nonfiction, Matt Ridley also slides into brief periods where points are bludgeoned to death, and sweeping generalisations are made on the shoulder of insufficient evidence.<br/><br/>Overall, I enjoyed the book and the author’s overarching efforts to distill patterns of innovation from multiple corners of history. I would recommend this to anyone looking for the unwritten rules and the untaught lessons that rule the world of innovators and their innovations.<br/>",,,1,0
9557,Sputnik Sweetheart,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0099448475""","=""9780099448471""",0,3.83,Vintage,Paperback,229,2002,1999,,2020/10/02,to-read,to-read (#295),to-read,,,,0,0
35620555,"Miss Laila, Armed and Dangerous",Manu Joseph,"Joseph, Manu",,"=""9352770447""","=""9789352770441""",0,3.66,Fourth Estate,Hardcover,216,2017,2017,,2020/09/26,to-read,to-read (#294),to-read,,,,0,0
13707645,The Illicit Happiness of Other People,Manu Joseph,"Joseph, Manu",,"=""0393338622""","=""9780393338621""",4,4.07,W. W. Norton & Company,Paperback,352,2013,2012,2020/09/26,2020/09/26,,,read,"As a reader, I have always been predisposed to seek out “happy books” - the ones with stories where things eventually work out, where the hero accomplishes his quest, where peace is restored in the realm, and where people “lived happily every after”. In these stories death, despair, and sadness caused by heinous crimes were nothing but decoy targets that were used to accentuate and make the eventual triumph of all that is good even more satisfying. They were analyzed and enjoyed merely as instruments of comparison, a convenient plot point, which would eventually be swept under the rug and forgotten in the face of the grand conclusion. This book threw all of those expectations out the window. It spat in the face of my conventional expectations and brought me face to face with some unsavory subjects which I had tried hard to avoid all my life.<br/>  <br/>Manu Joseph has woven a tale of a broken family forced to deal with death, poverty, and societal snobbery. With his astute observations and scathing humor, he exposes the ugly underbelly of our otherwise cultured society. The book, with its mysterious tale sheathed in layers of wisdom and humor, might make you laugh or even cry, but it will definitely make you hate yourself and the society at large. I’d definitely recommend this to anyone thinking about bursting the delicate bubble they have created for themselves. ",,,1,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",3,4.19,Tor Books,Mass Market Paperback,800,1990,1990,2020/09/13,2020/09/13,,,read,"Book 1 / 15<br/><br/>Being the first part in a long fantasy series, a fair bit of time is spent establishing the world, the characters, and the lore. Despite this overhead, the author has managed to weave a story of adventure and suspense that swoops you in from the start. If you've read Lord Of The Rings or any of the other fantasy novels, you'll find a fair bit of similarities and a sprinkling of the most common tropes.  Refreshingly, Robert Jordan has kept his focus on the plot without delving into meaningless drivel about trees and outbursts of songs like Tolkien. <br/><br/>The story isn't intellectual nor does it present the readers with any ""serious"" subjects under the garbs of magic and mystery. It is not a philosophical discourse on race and class, nor is it a reflection on human life and misery. The book does not pretend to be something it is not. It's a simple, straight-forward story of a chosen-one and the prophecy he is bound to fulfill, and it keeps that focus well until the end, without diluting itself to make it more palatable for a broader range of readers. <br/><br/>If you're looking for an engaging fantasy novel that you can breeze through and enjoy without putting in a lot of mental effort, then you should definitely try this book, even if you do not end up following the rest of the series. ",,,1,0
13155290,Several Short Sentences About Writing,Verlyn Klinkenborg,"Klinkenborg, Verlyn",,"=""0307266346""","=""9780307266347""",0,4.13,Knopf,Hardcover,224,2012,2012,,2020/09/13,to-read,to-read (#293),to-read,,,,0,0
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.26,Harper Voyager,Paperback,387,1994,1974,,2020/09/11,to-read,to-read (#292),to-read,,,,0,0
