Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25670869,Why Greatness Cannot Be Planned: The Myth of the Objective,Kenneth O. Stanley,"Stanley, Kenneth O.",Joel Lehman,"=""3319155245""","=""9783319155241""",0,3.98,Springer,Kindle Edition,154,2015,2015,,2026/03/20,to-read,to-read (#479),to-read,,,,0,0
35900387,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0008172145""","=""9780008172145""",3,4.23,HarperCollins GB,Paperback,390,2018,2017,2026/03/10,2026/03/02,,,read,"I haven't done these in awhile, so I'm a bit rusty on verbal flourish. <br/><br/>Bookish snobbery, I felt, had constrained my reading diversity to a limited range, directing me to more of the same sort of books as I'd read in the past. I found that I was not reading the books that I had researched and bought, choosing to keep them in their pristine condition. I wanted to experience the joy of spontaneity and the experience of working within constraints. So, last September, I decided to only buy used books from charity shops. The added benefit was the fact that everything was quite cheap and the books were already in a ""well loved"" condition. This in turn ensured that I wouldn't keep these framed on my bookshelf, and would actually read them, in whatever manner I felt comfortable. <br/><br/>This is the sort of book that I would normally avoid. 'Costa First Novel Award' is not a seal of approval that I seek out in a book store. But, in the face of the limited selection, I found this to be a better choice than 'Chicken Soup For The Soul' and 'The Monk Who Sold His Ferrari'. <br/><br/>For me, the book at its core, was a tale of personal battle around assumed guilt and depression. The treatment of this topic interleaved amongst descriptions of normal days and normal encounters, with a little bit of dry British wit thrown in for good measure, made it an engaging read. <br/><br/>It's not the sort of story that will leave a lasting impression on me, but it is one that I enjoyed reading and did not regret finishing.",,,1,0
5211,A Fine Balance,Rohinton Mistry,"Mistry, Rohinton",,"=""140003065X""","=""9781400030651""",0,4.38,Vintage,Paperback,603,1997,1995,,2021/07/02,did-not-finish,did-not-finish (#1),did-not-finish,,,,0,0
51506,Wittgenstein’s Mistress,David Markson,"Markson, David",David Foster Wallace,"=""1564782115""","=""9781564782113""",0,3.92,Dalkey Archive Press,Paperback,279,2012,1988,,2015/01/02,did-not-finish,did-not-finish (#3),did-not-finish,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.00,Penguin Press,Hardcover,246,2019,2019,,2021/07/02,did-not-finish,did-not-finish (#2),did-not-finish,,,,0,0
164154,"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,"Jr., Walter M. Miller",Mary Doria Russell,"=""0060892994""","=""9780060892999""",0,3.99,Eos,Paperback,334,2006,1959,,2014/10/21,did-not-finish,did-not-finish (#5),did-not-finish,,,,0,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",0,4.28,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,,2014/10/21,did-not-finish,did-not-finish (#4),did-not-finish,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,360,2022,2022,,2026/03/02,to-read,to-read (#478),to-read,,,,0,0
44318414,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""0062963678""","=""9780062963673""",5,4.10,Harper,Hardcover,337,2019,2019,,2020/07/29,,,read,The best book I've read this year.,,,1,0
218319936,The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,"Kim, Tae",,"=""1324086726""","=""9781324086727""",5,4.32,W. W. Norton & Company,Kindle Edition,268,2024,,,2025/04/13,,,read,,,,1,0
119512,The Melancholy of Resistance,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""""","=""""",0,4.08,New Directions,Paperback,314,2002,1989,,2025/10/10,to-read,to-read (#477),to-read,,,,0,0
22328,Neuromancer (Sprawl #1),William Gibson,"Gibson, William",,"=""""","=""""",0,3.89,Ace Books,Mass Market Paperback,271,1985,1984,,2014/10/21,to-read,to-read (#14),to-read,,,,0,0
60324341,Brotherless Night,V.V. Ganeshananthan,"Ganeshananthan, V.V.",,"=""0812997158""","=""9780812997156""",5,4.45,Random House,Hardcover,348,2023,2023,2025/09/26,2025/07/14,,,read,,,,1,0
220161058,Apple in China: The Capture of the World's Greatest Company,Patrick  McGee,"McGee, Patrick",,"=""1668053373""","=""9781668053379""",5,4.49,Scribner,Hardcover,448,2025,2025,,2025/06/17,,,read,,,,1,0
6621381,The Guide,R.K. Narayan,"Narayan, R.K.",,"=""1440623112""","=""9781440623110""",0,3.93,Putnam Adult,Kindle Edition,226,2006,1958,,2025/09/15,to-read,to-read (#476),to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.15,Knopf,Hardcover,331,2024,2024,,2025/07/15,to-read,to-read (#475),to-read,,,,0,0
26046333,Designing Your Life: Build a Life that Works for You,Bill Burnett,"Burnett, Bill",Dave      Evans,"=""1784740241""","=""9781784740245""",0,3.90,Chatto & Windus,Paperback,240,2013,2016,,2025/07/03,to-read,to-read (#474),to-read,,,,0,0
424570,Dragon in a Three-Piece Suit: The Emergence of Capitalism in China,Doug Guthrie,"Guthrie, Doug",,"=""0691095191""","=""9780691095196""",0,3.33,Princeton University Press,Paperback,320,2002,1999,,2025/06/30,to-read,to-read (#473),to-read,,,,0,0
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,3.94,HarperCollins Perennial,Paperback,927,2004,2003,,2025/06/24,to-read,to-read (#472),to-read,,,,0,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2025/06/24,to-read,to-read (#471),to-read,,,,0,0
35607655,Risk & Reward: An Inside View of the Property/Casualty Insurance Business,Stephen Catlin,"Catlin, Stephen",James Burcke,"=""""","=""""",0,4.33,,Kindle Edition,355,2017,,,2025/06/20,to-read,to-read (#470),to-read,,,,0,0
18286654,The Most Fun I Never Want To Have Again: A Mid-Life Crisis in Community Banking,R.D. Koncerak,"Koncerak, R.D.",,"=""1481867954""","=""9781481867955""",0,3.69,CreateSpace Independent Publishing Platform,Paperback,358,2013,2013,,2025/06/20,to-read,to-read (#469),to-read,,,,0,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,"=""0374157359""","=""9780374157357""",0,4.19,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2025/06/20,to-read,to-read (#468),to-read,,,,0,0
53521551,The Anatomy of the Swipe: Making Money Move,Ahmed Siddiqui,"Siddiqui, Ahmed",Nicholas Straight,"=""1641374489""","=""9781641374484""",0,4.15,New Degree Press,Kindle Edition,242,2020,,,2025/06/20,to-read,to-read (#467),to-read,,,,0,0
9755,Oracle Bones: A Journey Between China's Past and Present,Peter Hessler,"Hessler, Peter",,"=""0060826584""","=""9780060826581""",0,4.22,HarperCollins,Hardcover,512,2006,2006,,2025/06/17,to-read,to-read (#466),to-read,,,,0,0
58755262,"The Easy Life in Kamusari (Forest, #1)",Shion Miura,"Miura, Shion",Juliet Winters Carpenter,"=""1542027144""","=""9781542027144""",0,3.94,Amazon Crossing,Kindle Edition,205,2021,2009,,2025/06/13,to-read,to-read (#465),to-read,,,,0,0
21400742,Outline,Rachel Cusk,"Cusk, Rachel",,"=""0571233627""","=""9780571233625""",0,3.67,Faber & Faber,Hardcover,249,2014,2014,,2025/06/11,to-read,to-read (#464),to-read,,,,0,0
8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,"Montgomery, L.M.",Jennifer Lee Carrell,"=""0451528824""","=""9780451528827""",0,4.33,Signet,Mass Market Paperback,320,2003,1908,,2025/06/10,to-read,to-read (#463),to-read,,,,0,0
199605519,How to Age Disgracefully,Clare Pooley,"Pooley, Clare",,"=""0593831497""","=""9780593831496""",0,4.12,Pamela Dorman Books,Hardcover,337,2024,2024,,2025/06/10,to-read,to-read (#462),to-read,,,,0,0
38213061,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.31,Orbit,Kindle Edition,577,2011,2011,,2022/05/31,to-read,to-read (#342),to-read,,,,0,0
590652,The Slight Edge,Jeff Olson,"Olson, Jeff",,"=""0967285550""","=""9780967285559""",0,4.28,Momentum Media,Paperback,168,2005,2005,,2025/06/03,to-read,to-read (#461),to-read,,,,0,0
218559595,Great Big Beautiful Life,Emily Henry,"Henry, Emily",,"=""""","=""""",0,3.96,Berkley,Hardcover,432,2025,2025,,2025/06/03,to-read,to-read (#460),to-read,,,,0,0
195391751,The Anthropologists,Aysegül Savas,"Savas, Aysegül",,"=""163973306X""","=""9781639733064""",0,3.82,Bloomsbury Publishing,Hardcover,183,2024,2024,,2025/06/03,to-read,to-read (#459),to-read,,,,0,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.23,Knopf,Hardcover,256,2021,2021,,2025/06/03,to-read,to-read (#458),to-read,,,,0,0
36902522,Chinatown Days,Rita Chowdhury,"Chowdhury, Rita",,"=""9386215233""","=""9789386215239""",0,4.14,Pan Macmillan India,Hardcover,408,2017,2010,,2025/06/03,to-read,to-read (#457),to-read,,,,0,0
217311813,Woodworking,Emily St. James,"James, Emily St.",,"=""163893147X""","=""9781638931478""",0,4.27,Crooked Media Reads,Hardcover,351,2025,2025,,2025/06/03,to-read,to-read (#456),to-read,,,,0,0
37506439,The Sorrow of War: A Novel of North Vietnam,Bảo Ninh,"Ninh, Bảo",,"=""0525562842""","=""9780525562849""",0,4.08,Vintage,Paperback,240,2018,1991,,2025/06/03,to-read,to-read (#455),to-read,,,,0,0
1945359,Silence,Shusako Endo,"Endo, Shusako",,"=""0704331896""","=""9780704331891""",0,4.10,Quartet Books Limited,Paperback,306,1984,1966,,2025/05/27,to-read,to-read (#454),to-read,,,,0,0
40727626,Free Food for Millionaires,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,3.85,Grand Central Publishing,Kindle Edition,577,2007,2007,,2025/05/22,to-read,to-read (#453),to-read,,,,0,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",5,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2025/01/08,,,read,"5/5 - The best book I've read this year. <br/><br/><br/>The story taught me a great deal about the fractured history of Korea - life under Japanese rule, the division into North and South after the second world war and so much more. The history of the land is seamlessly interwoven with the history of its people.<br/><br/><br/>The writing style is fluid and unique, with subtle writing choices that made it easy to digest and follow along the plot and the characters across this 900 something page behemoth of a book. <br/><br/><br/>It is a multigenerational story with a dizzying array of characters who pop in and out across the timeline. There is a conscious choice made by the author to repeat the character names whenever they're in focus. This is immensely helpful for someone like me who tends to quickly glaze over and forget the names of characters after their first appearance. <br/><br/><br/>The writing seamlessly changes from the thoughts and dialogues of one character to the other. There is no explicit handoff or change of batons when it comes to narration, but it intuitively flows along with no hiccups or confusion. <br/><br/><br/>Most of the characters were richly detailed, with complex internal motivations and conflicts. A few character arcs are left unfinished, but it's forgivable given the scope of the story. <br/><br/><br/>At the core of the book, I found a deeply complex story that dealt with the question of identity and self worth, of what it means to belong, and more importantly what it means to be an outsider in your own land. <br/><br/><br/>At the end, I wished there were 900 pages more. ",,,1,0
8143909,Foster,Claire Keegan,"Keegan, Claire",,"=""0571255655""","=""9780571255658""",0,4.30,Faber & Faber,Paperback,101,2010,2010,,2025/05/22,to-read,to-read (#452),to-read,,,,0,0
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""""","=""""",0,4.13,Plume,Paperback,216,2005,1970,,2025/05/22,to-read,to-read (#451),to-read,,,,0,0
16286,The Magus,John Fowles,"Fowles, John",,"=""0316296198""","=""9780316296199""",0,4.05,"Little, Brown Paperbacks",Paperback,656,2001,1965,,2025/05/12,to-read,to-read (#450),to-read,,,,0,0
151848,Probability Theory: The Logic of Science,E.T. Jaynes,"Jaynes, E.T.",G. Larry Bretthorst,"=""0521592712""","=""9780521592710""",0,4.41,Cambridge University Press,Hardcover,753,2003,,,2025/05/10,to-read,to-read (#449),to-read,,,,0,0
24537795,Financial Modeling (The MIT Press),Simon Z. Benninga,"Benninga, Simon Z.",,"=""026232170X""","=""9780262321709""",0,4.02,The MIT Press,Kindle Edition,1144,2014,2000,,2025/05/10,to-read,to-read (#448),to-read,,,,0,0
17628199,"Designing Organizations: Strategy, Structure, and Process at the Business Unit and Enterprise Levels",Jay R. Galbraith,"Galbraith, Jay R.",,"=""1118409957""","=""9781118409954""",0,3.93,Jossey-Bass,Hardcover,352,2014,1995,,2025/05/10,to-read,to-read (#447),to-read,,,,0,0
407999,Competitive Strategy: Techniques for Analyzing Industries and Competitors,Michael E. Porter,"Porter, Michael E.",,"=""0684841487""","=""9780684841489""",0,4.17,Free Press,Hardcover,397,1998,1980,,2025/05/10,to-read,to-read (#446),to-read,,,,0,0
38526265,Flatline Constructs: Gothic Materialism and Cybernetic Theory-Fiction,Mark Fisher,"Fisher, Mark",Exmilitary Collective,"=""0692066055""","=""9780692066058""",0,4.13,Exmilitary,Paperback,212,2018,,,2025/05/08,to-read,to-read (#445),to-read,,,,0,0
17607,All About Love: New Visions,bell hooks,"hooks, bell",,"=""0688168442""","=""9780688168445""",0,4.00,William Morrow,Hardcover,240,1999,1999,,2025/05/08,to-read,to-read (#444),to-read,,,,0,0
24970,Either/Or: A Fragment of Life,Søren Kierkegaard,"Kierkegaard, Søren","Alastair Hannay, Victor Eremita","=""""","=""""",0,4.16,Penguin Classics,Paperback,633,1992,1843,,2025/05/08,to-read,to-read (#443),to-read,,,,0,0
730139,Gravity and Grace,Simone Weil,"Weil, Simone","Gustave Thibon, Emma Crawford, Mario von der Ruhr","=""0415290015""","=""9780415290012""",0,4.26,Routledge,Paperback,224,2002,1947,,2025/05/08,to-read,to-read (#442),to-read,,,,0,0
123632,Man and His Symbols,C.G. Jung,"Jung, C.G.","Joseph L. Henderson, Aniela Jaffé, Jolande Jacobi, Marie-Louise von Franz, John    Freeman","=""0440351839""","=""9780440351832""",0,4.19,Dell,Mass Market Paperback,415,1968,1964,,2025/05/08,to-read,to-read (#441),to-read,,,,0,0
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0141182008""","=""9780141182001""",0,4.17,Penguin Classics,Paperback,192,2013,1942,,2025/05/08,to-read,to-read (#440),to-read,,,,0,0
62804,Sun & Steel,Yukio Mishima,"Mishima, Yukio",John Bester,"=""4770029039""","=""9784770029034""",0,3.83,Kodansha International,"Paperback, Paper Dust Jacket",108,2003,1968,,2025/05/08,to-read,to-read (#439),to-read,,,,0,0
211051023,The Expanded Earth,Mikey Please,"Please, Mikey",,"=""1472158326""","=""9781472158321""",0,4.03,Corsair,Kindle Edition,448,2025,2025,,2025/05/06,to-read,to-read (#438),to-read,,,,0,0
55777544,Long Island Compromise,Taffy Brodesser-Akner,"Brodesser-Akner, Taffy",,"=""0593133498""","=""9780593133491""",0,3.75,Random House,Hardcover,464,2024,2024,,2025/05/05,to-read,to-read (#437),to-read,,,,0,0
29641,The End of the Affair,Graham Greene,"Greene, Graham",Monica Ali,"=""""","=""""",2,3.90,Vintage Classics,Paperback,160,2004,1951,2025/05/01,2020/09/05,,,read,"I was pleasantly surprised by the depth with which the story portrayed the feelings involved in an affair, capturing the feeling of love that can never be. The later part of the book was an utter disappointment as it devolves into (slightly) incoherent religious blabber. ",,,1,0
330947,"The Gates of Rome (Emperor, #1)",Conn Iggulden,"Iggulden, Conn",,"=""0440240948""","=""9780440240945""",0,4.20,Dell Books,Mass Market Paperback,452,2004,2003,,2025/05/01,to-read,to-read (#436),to-read,,,,0,0
1279686,"Genghis: Birth of an Empire (Conqueror, #1)",Conn Iggulden,"Iggulden, Conn",,"=""0440243904""","=""9780440243908""",0,4.39,Dell,Mass Market Paperback,528,2008,2007,,2025/05/01,to-read,to-read (#435),to-read,,,,0,0
7141642,The Thousand Autumns of Jacob de Zoet,David  Mitchell,"Mitchell, David",,"=""1400065453""","=""9781400065455""",0,4.03,Random House,Hardcover,479,2010,2010,,2025/05/01,to-read,to-read (#434),to-read,,,,0,0
135060,Hadji Murád,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Sasha Newborn, Raúl Bracho","=""1602060134""","=""9781602060135""",0,3.86,Cosimo Classics,Paperback,100,2006,1912,,2025/04/30,to-read,to-read (#433),to-read,,,,0,0
25334576,Grief Is the Thing with Feathers,Max Porter,"Porter, Max",,"=""0571323766""","=""9780571323760""",0,3.79,Faber & Faber,Hardcover,114,2015,2015,,2025/04/30,to-read,to-read (#432),to-read,,,,0,0
275,The Lover,Marguerite Duras,"Duras, Marguerite","Maxine Hong Kingston, Barbara Bray","=""""","=""""",0,3.70,Pantheon Books,Paperback,117,1998,1984,,2025/04/30,to-read,to-read (#431),to-read,,,,0,0
94486,The Invention of Morel,Adolfo Bioy Casares,"Casares, Adolfo Bioy","Jorge Luis Borges, Ruth L.C. Simms, Suzanne Jill Levine, Norah Borges de Torre","=""1590170571""","=""9781590170571""",0,3.96,New York Review Books,Paperback,103,2003,1940,,2025/04/30,to-read,to-read (#430),to-read,,,,0,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,245,2020,2020,,2025/04/30,to-read,to-read (#429),to-read,,,,0,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.49,Atlantic Monthly Press,Hardcover,224,2023,2023,,2025/04/30,to-read,to-read (#428),to-read,,,,0,0
341735,Replay: A Novel,Ken Grimwood,"Grimwood, Ken",,"=""068816112X""","=""9780688161125""",0,4.15,William Morrow Paperbacks,Paperback,311,1998,1987,,2025/04/22,to-read,to-read (#427),to-read,,,,0,0
215808151,The Hedgehog’s Dilemma,Toon Tellegen,"Tellegen, Toon","David Colmer, Annemarie van Haeringen","=""180533171X""","=""9781805331711""",0,3.63,Pushkin Press,Hardcover,176,2025,2014,,2025/04/22,to-read,to-read (#426),to-read,,,,0,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",0,4.07,Crown Currency,Hardcover,287,2018,2018,,2025/04/13,to-read,to-read (#425),to-read,,,,0,0
18891716,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",,"=""""","=""""",0,4.18,Chelsea Green,Kindle Edition,243,2008,2008,,2025/04/13,to-read,to-read (#424),to-read,,,,0,0
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,"=""""","=""""",0,4.33,PublicAffairs,Kindle Edition,274,2014,2014,,2025/04/13,to-read,to-read (#423),to-read,,,,0,0
17971957,Programming Elixir: Functional |> Concurrent |> Pragmatic |> Fun,Dave         Thomas,"Thomas, Dave",,"=""1937785580""","=""9781937785581""",0,4.28,The Pragmatic Bookshelf,Paperback,287,2013,2013,,2025/04/13,to-read,to-read (#422),to-read,,,,0,0
16033602,Lean Analytics: Use Data to Build a Better Startup Faster,Alistair Croll,"Croll, Alistair",Benjamin Yoskovitz,"=""1449335675""","=""9781449335670""",0,4.11,O'Reilly Media,Hardcover,440,2013,2013,,2025/04/13,to-read,to-read (#421),to-read,,,,0,0
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.10,Random House,Hardcover,426,2012,2012,,2025/04/13,to-read,to-read (#420),to-read,,,,0,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change Your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",0,3.91,Allen & Unwin,Paperback,288,2019,2013,,2025/04/13,to-read,to-read (#419),to-read,,,,0,0
123715,"Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency",Tom DeMarco,"DeMarco, Tom",,"=""0767907698""","=""9780767907699""",0,4.02,Crown Currency,Paperback,256,2002,2001,,2025/04/13,to-read,to-read (#418),to-read,,,,0,0
67825,Peopleware: Productive Projects and Teams,Tom DeMarco,"DeMarco, Tom",Timothy Lister,"=""0932633439""","=""9780932633439""",0,4.14,Dorset House,Paperback,245,1999,1987,,2025/04/13,to-read,to-read (#417),to-read,,,,0,0
318525,Red Storm Rising,Tom Clancy,"Clancy, Tom",,"=""0394298667""","=""9780394298665""",0,4.21,Random House Audio,Audio Cassette,,1988,1986,,2025/04/09,to-read,to-read (#416),to-read,,,,0,0
214490408,House of Huawei: The Secret History of China's Most Powerful Company,Eva Dou,"Dou, Eva",,"=""0593544633""","=""9780593544631""",5,3.89,Portfolio,Hardcover,448,2025,2025,2025/04/03,2025/03/13,,,read,"My fascination with Huawai began when I walked into what I thought would be the Apple store in Shanghai. Fashioned with high white ceilings and see through windows, they had everything from smartwatches, to trifold phones, to cars. <br/><br/>The book captures the journey of this behemoth, interspersing it with the history of Modern China. It's fast paced, sprinkled with ample references, and manages to capture to readers attention even while stitching together pieces of publicly available information. <br/><br/>I came away understanding a lot more about the cultural, political and technological shift that has happened inside China, while being fearful of the power that multi-national conglomerates controlling the base communication infrastructure hold.<br/><br/>",,,1,0
366821,The Evolution of Cooperation,Robert Axelrod,"Axelrod, Robert",Richard Dawkins,"=""0465005640""","=""9780465005642""",0,4.25,Basic Books,Paperback,264,2006,1984,,2025/04/03,to-read,to-read (#415),to-read,,,,0,0
156785,Diaspora,Greg Egan,"Egan, Greg",Bernhard Kempen,"=""3453161815""","=""9783453161818""",0,4.10,Heyne,Paperback,443,2000,1997,,2025/04/03,to-read,to-read (#414),to-read,,,,0,0
522525,"Mistakes Were Made (But Not by Me): Why We Justify Foolish Beliefs, Bad Decisions, and Hurtful Acts",Carol Tavris,"Tavris, Carol",Elliot Aronson,"=""0151010986""","=""9780151010981""",0,4.04,Houghton Mifflin Harcourt,Hardcover,292,2007,2007,,2025/04/03,to-read,to-read (#413),to-read,,,,0,0
11612989,The Dictator's Handbook: Why Bad Behavior Is Almost Always Good Politics,Bruce Bueno de Mesquita,"Mesquita, Bruce Bueno de",Alastair Smith,"=""161039044X""","=""9781610390446""",0,4.25,PublicAffairs,Hardcover,321,2011,2011,,2025/04/03,to-read,to-read (#412),to-read,,,,0,0
224552,Why Does He Do That? Inside the Minds of Angry and Controlling Men,Lundy   Bancroft,"Bancroft, Lundy",,"=""0425191656""","=""9780425191651""",0,4.49,Berkley Books,Paperback,408,2003,2002,,2025/04/03,to-read,to-read (#411),to-read,,,,0,0
552175,Progress and Poverty: An Inquiry in the Cause of Industrial Depressions and of Increase of Want with Increase of Wealth... The Remedy,Henry George,"George, Henry",,"=""0911312587""","=""9780911312584""",0,4.29,Robert Schalkenbach Foundation,Paperback,599,1997,1879,,2025/04/03,to-read,to-read (#410),to-read,,,,0,0
612456,Carrying the Fire: An Astronaut's Journey,Michael  Collins,"Collins, Michael",,"=""081541028X""","=""9780815410287""",0,4.49,Cooper Square Press,Paperback,478,2001,1974,,2025/04/03,to-read,to-read (#409),to-read,,,,0,0
129915654,Pride and Prejudice,Jane Austen,"Austen, Jane",,"=""""","=""""",0,4.30,Peter Pauper Press,Hardcover,400,2023,1813,,2025/03/31,to-read,to-read (#408),to-read,,,,0,0
13456414,A Short Stay in Hell,Steven L. Peck,"Peck, Steven L.",,"=""098374842X""","=""9780983748427""",4,4.15,Strange Violin Editions,Paperback,108,2012,2011,2025/03/25,2025/03/14,,,read,"Interesting take on religion, hell, eternity, and the impact on human relationships. ",,,1,0
4473,A Prayer for Owen Meany,John Irving,"Irving, John",,"=""0552135399""","=""9780552135399""",0,4.24,Black Swan,Paperback,637,1990,1989,,2025/03/25,to-read,to-read (#407),to-read,,,,0,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",4,4.08,Grove Press,Hardcover,118,2021,2021,2025/03/23,2025/03/14,,,read,"It was a quick read. I have a soft corner for stories set in the Irish countryside. It evokes feelings of longing for an imagined slow country life that I never had. Strange. <br/><br/>The story is well paced, and I especially loved how it managed to flush out the main character within so few pages. <br/><br/>Bonus points for teaching me something that I previously had no knowledge about. <br/><br/>I recommend jumping straight into the book without looking up what it's about. ",,,1,0
7624457,How to Live: A Life of Montaigne in One Question and Twenty Attempts at an Answer,Sarah Bakewell,"Bakewell, Sarah",,"=""0701178922""","=""9780701178925""",0,4.02,Chatto & Windus,Hardcover,387,2010,2010,,2025/03/21,to-read,to-read (#406),to-read,,,,0,0
148639,Waterland,Graham Swift,"Swift, Graham",,"=""0330336320""","=""9780330336321""",0,3.89,Picador,Paperback,368,1999,1983,,2025/03/21,to-read,to-read (#405),to-read,,,,0,0
90619,"Little, Big",John Crowley,"Crowley, John",,"=""0061120057""","=""9780061120053""",0,3.81,Harper Collins Publishers,Paperback,538,2006,1981,,2025/03/21,to-read,to-read (#404),to-read,,,,0,0
25246592,The Man Who Spoke Snakish,Andrus Kivirähk,"Kivirähk, Andrus",Christopher Moseley,"=""0802124127""","=""9780802124128""",0,4.20,"Grove Press, Black Cat",Paperback,442,2015,2007,,2025/03/21,to-read,to-read (#403),to-read,,,,0,0
2599344,The Great Ponds (African Writers),Elechi Amadi,"Amadi, Elechi",,"=""0435900447""","=""9780435900441""",0,4.21,Heinemann,Mass Market Paperback,224,1970,1970,,2025/03/21,to-read,to-read (#402),to-read,,,,0,0
40060700,The Old Drift,Namwali Serpell,"Serpell, Namwali",,"=""1781090491""","=""9781781090497""",0,3.73,Hogarth,Hardcover,576,2019,2019,,2025/03/21,to-read,to-read (#401),to-read,,,,0,0
1611127,Black-Eyed Suzie,Susan Shaw,"Shaw, Susan",,"=""156397729X""","=""9781563977299""",0,4.17,Boyds Mills Press,Hardcover,176,2002,2002,,2025/03/21,to-read,to-read (#400),to-read,,,,0,0
7849308,Pereira Maintains,Antonio Tabucchi,"Tabucchi, Antonio","Patrick Creagh, Mohsin Hamid","=""1847675719""","=""9781847675712""",0,4.20,Canongate Books,Hardcover,196,2010,1994,,2025/03/21,to-read,to-read (#399),to-read,,,,0,0
13317469,News From A Foreign Country Came,Alberto Manguel,"Manguel, Alberto",,"=""0394222768""","=""9780394222769""",0,3.66,Vintage Canada,Paperback,0,1992,1991,,2025/03/21,to-read,to-read (#398),to-read,,,,0,0
34689759,Gone With the Wind,Margaret Mitchell,"Mitchell, Margaret",Pat Conroy,"=""""","=""""",0,4.31,Scribner,Paperback,959,2011,1936,,2025/03/21,to-read,to-read (#397),to-read,,,,0,0
3388,Corelli’s Mandolin,Louis de Bernières,"Bernières, Louis de",,"=""067976397X""","=""9780679763970""",0,4.04,Vintage,Paperback,437,1995,1994,,2025/03/21,to-read,to-read (#396),to-read,,,,0,0
43521657,The Ten Thousand Doors of January,Alix E. Harrow,"Harrow, Alix E.",,"=""0316421995""","=""9780316421997""",0,4.01,Redhook,Hardcover,374,2019,2019,,2025/03/21,to-read,to-read (#395),to-read,,,,0,0
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",0,4.03,Viking,Hardcover,496,2014,1939,,2025/03/21,to-read,to-read (#394),to-read,,,,0,0
158875813,Prophet Song,Paul    Lynch,"Lynch, Paul",,"=""""","=""""",0,4.03,Oneworld Publications,ebook,259,2023,2023,,2025/03/21,to-read,to-read (#393),to-read,,,,0,0
